[[7, 2, 1], 0.010530710220336914, 0.0010921955108642578, 6.661338147750939e-16, 0]
[[7, 2, 1], 0.008479118347167969, 0.0003821849822998047, 6.661338147750939e-16, 0]
[[8, 1, 1], 0.02654886245727539, 0.0006289482116699219, 0, 0]
[[6, 2, 2], 0.01565074920654297, 0.0005710124969482422, 4.440892098500626e-15, 0]
[[7, 3], 0.007230997085571289, 0.00020003318786621094, 2.220446049250313e-16, 0]
[[4, 3, 3], 0.01234292984008789, 0.0003609657287597656, 7.549516567451064e-15, 0]
[[5, 5], 0.00784921646118164, 0.00021195411682128906, 4.440892098500626e-16, 0]
[[5, 3, 2], 0.012007951736450195, 0.0004322528839111328, 5.773159728050814e-15, 0]
[[5, 3, 2], 0.011605978012084961, 0.00045800209045410156, 5.773159728050814e-15, 0]
[[10], 0.004379987716674805, 8.487701416015625e-05, 0, 0]
[[10], 0.00411534309387207, 7.82012939453125e-05, 0, 0]
[[5, 4, 1], 0.010746240615844727, 0.0003879070281982422, 1.9984014443252818e-15, 0]
[[8, 1, 1], 0.00980830192565918, 0.0003979206085205078, 0, 0]
[[5, 3, 2], 0.015141963958740234, 0.00042510032653808594, 5.773159728050814e-15, 0]
[[6, 3, 1], 0.010368108749389648, 0.000453948974609375, 5.329070518200751e-15, 0]
[[9, 1], 0.007871866226196289, 0.00022912025451660156, 0, 0]
[[9, 1], 0.00674891471862793, 0.00020694732666015625, 0, 0]
[[5, 4, 1], 0.011672019958496094, 0.0006570816040039062, 1.9984014443252818e-15, 0]
[[8, 1, 1], 0.011513948440551758, 0.000446319580078125, 0, 0]
[[6, 4], 0.007505178451538086, 0.00018715858459472656, 2.220446049250313e-16, 0]
[[6, 3, 1], 0.013199090957641602, 0.00040221214294433594, 5.329070518200751e-15, 0]
[[6, 4], 0.006926774978637695, 0.0001900196075439453, 2.220446049250313e-16, 0]
[[5, 3, 2], 0.012341976165771484, 0.00038313865661621094, 5.773159728050814e-15, 0]
